sonido, prediccion
"puerta","puerta"
"puerta","grifo_cocina"
"puerta","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"grifo_banio","grifo_cocina"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"idle","grifo_cocina"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","grifo_cocina"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","idle"
"ducha","idle"
"idle","idle"
"idle","grifo_cocina"
"idle","grifo_cocina"
"idle","grifo_cocina"
"idle","idle"
"idle","idle"
"idle","idle"
"cisterna","idle"
"cisterna","cisterna"
"cisterna","cisterna"
"cisterna","cisterna"
"cisterna","cisterna"
"cisterna","cisterna"
"cisterna","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"puerta","puerta"
"puerta","grifo_cocina"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","impresora"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
